feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,3.380184741268104,autoregressive,0.8989365139823278
y_lag1,1.0218503955981069,autoregressive,0.05030417534925919
y_lag5,0.4962227827286564,autoregressive,0.011353144246921682
sin_q,0.31801328689135816,seasonal,0.0017146479368774043
wellDepth,0.22820959544390554,static,0.0046972317812656065
y_lag8,0.1225896301579675,autoregressive,0.0026588154054040716
lat,0.08080914338551941,static,0.0030030466364540606
y_lag4,0.06542390445781193,autoregressive,0.0017636970429687868
y_lag6,0.05751615364908356,autoregressive,0.0017477810790526526
y_trend4,0.04687556549992635,autoregressive,0.0022433313201416687
y_lag3,0.03383565655233533,autoregressive,0.0016207792740184827
lon,0.03358916106597726,static,0.0019891824184580793
t2m_max_lag1,0.032231843168766684,covariate,0.0009661569457459374
y_roll4_std,0.03212820869093255,autoregressive,0.0035718561691783163
t2m_lag1,0.028806227631594492,covariate,0.0008648009885023993
rainfall_lag0,0.027985065860747334,covariate,0.0006877027744859461
t2m_min_lag4,0.027880747658510525,covariate,0.0007091213400941497
y_lag2,0.026126884177088843,autoregressive,0.0019841167242806755
t2m_min_lag2,0.024440744538853594,covariate,0.0009003333635099638
t2m_min_lag0,0.022312790996439787,covariate,0.0008592234951362231
t2m_lag2,0.018895283505105866,covariate,0.0007826226059425579
rainfall_lag4,0.01822271447677212,covariate,0.00045793553515479805
t2m_min_lag1,0.017935263604304846,covariate,0.0007797371898908498
y_lag5__miss,0.017753251260369786,autoregressive,0.00017024846240215252
t2m_lag0,0.015725493862555423,covariate,0.0006564242439062757
t2m_max_lag2,0.010904598104340173,covariate,0.0008272067134155644
t2m_max_lag4,0.010648115406309678,covariate,0.0006073843281718723
cos_q,0.008485552941699776,seasonal,8.882432540490528e-05
y_lag1__miss,0.008241644023231352,autoregressive,9.731442033185549e-05
t2m_max_lag0,0.00814408096878688,covariate,0.0008139914632174461
t2m_max_lag1__miss,0.007948010200174915,covariate,0.00010011703719882082
t2m_lag1__miss,0.007898219147532363,covariate,0.00010351351336764578
rainfall_lag1__miss,0.007822391733286032,covariate,0.00010474984418872321
t2m_min_lag1__miss,0.007631521165128513,covariate,9.608025739992101e-05
t2m_lag4,0.006804501100405012,covariate,0.00042565638086686724
rainfall_lag2,0.006352571156517772,covariate,0.0005384574217042924
rainfall_lag1,0.006056282056165205,covariate,0.00048575781354817015
y_roll4_std__miss,0.003504281202932685,autoregressive,3.43359202680809e-05
y_lag8__miss,0.002313411887031949,autoregressive,8.256332759460752e-05
y_lag6__miss,0.002254193529007695,autoregressive,5.826271821314871e-05
y_lag3__miss,0.0016402897765388218,autoregressive,4.207201788660108e-05
t2m_max_lag2__miss,0.00046230745513609105,covariate,7.490175444785222e-06
t2m_lag2__miss,0.0004438468279714511,covariate,9.513879769984824e-06
y_lag2__miss,0.0004062275500031545,autoregressive,6.9211634777537385e-06
t2m_min_lag2__miss,0.00039402802441057473,covariate,7.614380581486266e-06
rainfall_lag2__miss,0.0003826387562424373,covariate,7.81705449473768e-06
y_trend4__miss,0.0001934259179367194,autoregressive,6.42670827864401e-06
y_lag4__miss,0.00017555478772076594,autoregressive,5.633813906267801e-06
t2m_lag4__miss,0.00016715291327978595,covariate,5.584531900822933e-06
t2m_min_lag4__miss,0.00016182491924826965,covariate,5.1070519780500375e-06
t2m_max_lag4__miss,0.00013123474134075496,covariate,5.6080457306436985e-06
rainfall_lag4__miss,0.00012554355706851695,covariate,3.369380278484842e-06
lat__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
t2m_lag0__miss,0.0,covariate,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
