station_id,lat,lon,is_igp,spatial_block,random_block
081455077183001,8.2486,77.3083,False,1,0
081500077310001,8.25,77.5167,False,1,3
081530077271001,8.2583,77.4528,False,1,3
081730077163001,8.2917,77.275,False,1,2
081900077123002,8.3167,77.2083,False,1,2
081930077153001,8.325,77.2583,False,1,4
082000077160401,8.3333,77.2678,False,1,0
082230077174501,8.375,77.2958,False,1,3
083110076562501,8.5194,76.9403,False,1,1
083125077023001,8.5236,77.0417,False,1,0
083150077073001,8.5306,77.125,False,1,2
083200077275501,8.5333,77.4653,False,1,4
083630076494002,8.6083,76.8278,False,1,3
083635077003501,8.6097,77.0097,False,1,3
083639076595201,8.6108,76.9978,False,1,3
083639076595202,8.6108,76.9978,False,1,3
083639076595203,8.6108,76.9978,False,1,2
083639076595204,8.6108,76.9978,False,1,0
083640076482501,8.6111,76.8069,False,1,4
083705076572501,8.6181,76.9569,False,1,2
083710076493001,8.6194,76.825,False,1,2
083710076503001,8.6194,76.8417,False,1,1
083710076562001,8.6194,76.9389,False,1,0
083710076562002,8.6194,76.9389,False,1,4
083713077050601,8.6203,77.085,False,1,3
083733076482201,8.6258,76.8061,False,1,3
083940077373001,8.6611,77.625,False,1,2
084000077405001,8.6667,77.6806,False,1,4
084830077503001,8.8083,77.8417,False,1,2
084930076500501,8.825,76.8347,False,1,2
084940077343001,8.8278,77.575,False,1,2
085000077243001,8.8333,77.4083,False,1,1
085145076492501,8.8625,76.8236,False,1,0
085150076413001,8.8639,76.6917,False,1,2
085220076463001,8.8722,76.775,False,1,4
085230076450001,8.875,76.75,False,1,0
085239076483901,8.8775,76.8108,False,1,4
085239076483902,8.8775,76.8108,False,1,4
085239076483904,8.8775,76.8108,False,1,1
085250076522002,8.8806,76.8722,False,1,3
085320076515001,8.8889,76.8639,False,1,0
085324076350001,8.89,76.5833,False,1,3
085331076570701,8.8919,76.9519,False,1,3
085339076380601,8.8942,76.635,False,1,1
085344076340701,8.8956,76.5686,False,1,0
085404076463501,8.9011,76.7764,False,1,4
085410076420401,8.9028,76.7011,False,1,2
085412076555801,8.9033,76.9328,False,1,4
