feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,2.9782746,autoregressive,47641.625
y_lag1,0.69885,autoregressive,7016.5390625
y_lag5,0.46891552,autoregressive,2230.358642578125
wellDepth,0.40575156,static,577.794189453125
sin_q,0.3762261,seasonal,1719.3695068359375
y_lag8,0.19426511,autoregressive,460.4366455078125
y_lag4,0.13725537,autoregressive,189.7035369873047
lat,0.13393867,static,333.326904296875
t2m_min_lag4,0.11758435,covariate,186.05868530273438
y_lag6,0.10645406,autoregressive,226.10340881347656
y_lag3,0.104907006,autoregressive,147.96649169921875
lon,0.097834334,static,407.6249694824219
y_trend4,0.09700815,autoregressive,150.8717498779297
cos_q,0.07862154,seasonal,528.6270751953125
rainfall_lag0,0.06300036,covariate,135.09999084472656
y_lag1__miss,0.05556415,autoregressive,486.30145263671875
y_roll4_std,0.05525463,autoregressive,198.56390380859375
y_lag5__miss,0.052510876,autoregressive,364.5085754394531
t2m_min_lag1,0.05186364,covariate,157.11061096191406
t2m_max_lag4,0.050533332,covariate,130.33428955078125
t2m_max_lag1,0.046031542,covariate,155.48257446289062
t2m_lag1,0.04317803,covariate,144.9842987060547
t2m_max_lag0,0.03992312,covariate,130.43313598632812
t2m_min_lag0,0.03850049,covariate,152.3332977294922
t2m_min_lag2,0.036900617,covariate,170.37510681152344
t2m_lag0,0.034503583,covariate,138.40843200683594
t2m_max_lag2,0.03432684,covariate,150.91371154785156
y_lag2,0.030328043,autoregressive,1312.327392578125
rainfall_lag1,0.026594345,covariate,108.11450958251953
t2m_lag2,0.025914794,covariate,145.49765014648438
rainfall_lag4,0.025133315,covariate,135.0132293701172
rainfall_lag2,0.023514293,covariate,152.2216033935547
y_lag2__miss,0.020157862,autoregressive,148.4441375732422
y_lag8__miss,0.017402658,autoregressive,130.90533447265625
t2m_lag4,0.016646078,covariate,126.39260864257812
y_lag3__miss,0.009449632,autoregressive,104.14727020263672
rainfall_lag1__miss,0.006313627,covariate,240.57968139648438
y_lag4__miss,0.005881111,autoregressive,114.96873474121094
y_lag6__miss,0.0039031862,autoregressive,115.68717193603516
y_roll4_std__miss,0.0031285211,autoregressive,294.5458984375
t2m_lag1__miss,0.0021609848,covariate,405.9712829589844
rainfall_lag4__miss,0.0012810971,covariate,66.24323272705078
rainfall_lag2__miss,0.0011609013,covariate,95.46717834472656
y_trend4__miss,0.0003881187,autoregressive,124.00505065917969
t2m_lag2__miss,8.272127e-05,covariate,281.65673828125
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
lat__miss,0.0,other,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_lag0__miss,0.0,covariate,0.0
t2m_lag4__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_max_lag1__miss,0.0,covariate,0.0
t2m_max_lag2__miss,0.0,covariate,0.0
t2m_max_lag4__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
t2m_min_lag1__miss,0.0,covariate,0.0
t2m_min_lag2__miss,0.0,covariate,0.0
t2m_min_lag4__miss,0.0,covariate,0.0
