feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,3.238475,autoregressive,74097.4921875
y_lag2,0.67229575,autoregressive,8363.1552734375
y_lag6,0.50416625,autoregressive,2067.815673828125
cos_q,0.3577609,seasonal,2591.15576171875
wellDepth,0.3036341,static,1060.814697265625
sin_q,0.26526883,seasonal,1469.6759033203125
y_lag1,0.15131412,autoregressive,9524.08203125
lat,0.13034287,static,459.28045654296875
y_trend4,0.112300225,autoregressive,252.26934814453125
y_lag5,0.077541746,autoregressive,300.8781433105469
lon,0.0702274,static,721.612060546875
t2m_min_lag4,0.06288188,covariate,239.34596252441406
y_lag2__miss,0.0619268,autoregressive,489.1598205566406
y_lag6__miss,0.05659366,autoregressive,555.6531982421875
y_lag8,0.051424608,autoregressive,424.3746337890625
y_lag3,0.046635304,autoregressive,205.19705200195312
t2m_max_lag0,0.045158293,covariate,218.25811767578125
t2m_max_lag1,0.044518676,covariate,173.8712615966797
y_lag4,0.04109572,autoregressive,177.54592895507812
t2m_lag0,0.03695,covariate,229.9253692626953
t2m_min_lag2,0.03694131,covariate,206.966796875
t2m_lag4,0.034388587,covariate,202.51593017578125
rainfall_lag1,0.03358516,covariate,169.40586853027344
t2m_min_lag0,0.032291796,covariate,245.2658233642578
t2m_lag2,0.030565565,covariate,255.1455841064453
y_roll4_std,0.029789804,autoregressive,288.7734069824219
t2m_lag1,0.02870834,covariate,244.76870727539062
t2m_max_lag2,0.025633119,covariate,194.96017456054688
t2m_min_lag1,0.024999497,covariate,247.8529052734375
rainfall_lag0,0.024611037,covariate,211.12738037109375
rainfall_lag2,0.020434923,covariate,170.7178955078125
y_lag3__miss,0.015719963,autoregressive,222.3663330078125
t2m_max_lag4,0.015358136,covariate,182.15829467773438
rainfall_lag4,0.0118643325,covariate,329.7289123535156
y_roll4_std__miss,0.004817633,autoregressive,406.6383056640625
rainfall_lag2__miss,0.004672838,covariate,345.7695617675781
y_lag1__miss,0.004085604,autoregressive,248.30946350097656
y_lag5__miss,0.0033793154,autoregressive,88.42294311523438
y_lag8__miss,0.0028936127,autoregressive,182.20785522460938
t2m_lag2__miss,0.0024935561,covariate,250.83148193359375
rainfall_lag1__miss,0.0014126002,covariate,232.2982940673828
y_trend4__miss,0.0011524807,autoregressive,417.1697692871094
y_lag4__miss,0.00068643864,autoregressive,335.8450012207031
lon__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
lat__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
rainfall_lag0__miss,0.0,covariate,0.0
rainfall_lag4__miss,0.0,covariate,0.0
t2m_lag0__miss,0.0,covariate,0.0
t2m_lag1__miss,0.0,covariate,0.0
t2m_lag4__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_max_lag1__miss,0.0,covariate,0.0
t2m_max_lag2__miss,0.0,covariate,0.0
t2m_max_lag4__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
t2m_min_lag1__miss,0.0,covariate,0.0
t2m_min_lag2__miss,0.0,covariate,0.0
t2m_min_lag4__miss,0.0,covariate,0.0
