feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,7.456938256379902,autoregressive,0.8989365139823278
y_lag1,1.239671767835367,autoregressive,0.05030417534925919
y_lag5,0.703396190900945,autoregressive,0.011353144246921682
wellDepth,0.2911264962187438,static,0.0046972317812656065
sin_q,0.26843408852594136,seasonal,0.0017146479368774043
lat,0.18620803422088691,static,0.0030030466364540606
y_lag8,0.14967580877548783,autoregressive,0.0026588154054040716
y_lag4,0.09430520421826241,autoregressive,0.0017636970429687868
y_lag6,0.07003649892666625,autoregressive,0.0017477810790526526
y_trend4,0.04614984126673654,autoregressive,0.0022433313201416687
y_roll4_std,0.04169691811423059,autoregressive,0.0035718561691783163
lon,0.03930200427918049,static,0.0019891824184580793
t2m_min_lag4,0.036763204130301104,covariate,0.0007091213400941497
y_lag2,0.03415010869356348,autoregressive,0.0019841167242806755
t2m_max_lag1,0.03402939500975568,covariate,0.0009661569457459374
t2m_lag1,0.033066363218347265,covariate,0.0008648009885023993
t2m_min_lag2,0.030356758146278286,covariate,0.0009003333635099638
y_lag3,0.030172735252409964,autoregressive,0.0016207792740184827
t2m_min_lag0,0.029512997127936737,covariate,0.0008592234951362231
t2m_min_lag1,0.0268935421063615,covariate,0.0007797371898908498
t2m_lag2,0.023939418769353817,covariate,0.0007826226059425579
rainfall_lag0,0.022467217110421853,covariate,0.0006877027744859461
t2m_lag0,0.019545587307810815,covariate,0.0006564242439062757
rainfall_lag4,0.017575607645610107,covariate,0.00045793553515479805
t2m_max_lag0,0.012652812083937941,covariate,0.0008139914632174461
t2m_max_lag4,0.012476271249462012,covariate,0.0006073843281718723
y_lag5__miss,0.012184965406212538,autoregressive,0.00017024846240215252
t2m_max_lag2,0.010082597160372683,covariate,0.0008272067134155644
t2m_lag4,0.009642515579878183,covariate,0.00042565638086686724
rainfall_lag2,0.007902696564971846,covariate,0.0005384574217042924
t2m_lag1__miss,0.007058999726958235,covariate,0.00010351351336764578
rainfall_lag1,0.007003962213669123,covariate,0.00048575781354817015
y_lag1__miss,0.006727250016213581,autoregressive,9.731442033185549e-05
rainfall_lag1__miss,0.006583808650695493,covariate,0.00010474984418872321
t2m_max_lag1__miss,0.00621821433595966,covariate,0.00010011703719882082
cos_q,0.006162721608452076,seasonal,8.882432540490528e-05
t2m_min_lag1__miss,0.005978748254279907,covariate,9.608025739992101e-05
y_roll4_std__miss,0.0025670567416961614,autoregressive,3.43359202680809e-05
y_lag8__miss,0.0023438766379396494,autoregressive,8.256332759460752e-05
y_lag6__miss,0.0019800998710546264,autoregressive,5.826271821314871e-05
y_lag3__miss,0.0018099525679383674,autoregressive,4.207201788660108e-05
t2m_lag2__miss,0.0005356141439375666,covariate,9.513879769984824e-06
y_lag2__miss,0.0005002930347082817,autoregressive,6.9211634777537385e-06
t2m_max_lag2__miss,0.00043501649066895803,covariate,7.490175444785222e-06
t2m_min_lag2__miss,0.0004129700259847541,covariate,7.614380581486266e-06
rainfall_lag2__miss,0.00039387045150768524,covariate,7.81705449473768e-06
t2m_lag4__miss,0.00038338226316939235,covariate,5.584531900822933e-06
t2m_min_lag4__miss,0.00034623471952013987,covariate,5.1070519780500375e-06
y_trend4__miss,0.0002901586797953448,autoregressive,6.42670827864401e-06
t2m_max_lag4__miss,0.0002346476437489696,covariate,5.6080457306436985e-06
y_lag4__miss,0.00021829829863936263,autoregressive,5.633813906267801e-06
rainfall_lag4__miss,0.0001755174865779081,covariate,3.369380278484842e-06
lat__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
t2m_lag0__miss,0.0,covariate,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
