feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,6.465311,autoregressive,47641.625
y_lag1,0.9986738,autoregressive,7016.5390625
y_lag5,0.84792405,autoregressive,2230.358642578125
wellDepth,0.5104334,static,577.794189453125
y_lag8,0.41908798,autoregressive,460.4366455078125
sin_q,0.31808287,seasonal,1719.3695068359375
y_lag4,0.303171,autoregressive,189.7035369873047
lat,0.29523483,static,333.326904296875
y_lag6,0.18914627,autoregressive,226.10340881347656
y_lag3,0.16046828,autoregressive,147.96649169921875
t2m_min_lag4,0.15395385,covariate,186.05868530273438
t2m_min_lag0,0.11187842,covariate,152.3332977294922
y_trend4,0.10770729,autoregressive,150.8717498779297
lon,0.10652483,static,407.6249694824219
t2m_min_lag1,0.08519268,covariate,157.11061096191406
y_lag5__miss,0.08171884,autoregressive,364.5085754394531
t2m_lag0,0.079745814,covariate,138.40843200683594
y_lag2,0.07607723,autoregressive,1312.327392578125
y_lag1__miss,0.0708768,autoregressive,486.30145263671875
t2m_lag1,0.068603314,covariate,144.9842987060547
t2m_max_lag1,0.068477765,covariate,155.48257446289062
y_roll4_std,0.06571099,autoregressive,198.56390380859375
t2m_max_lag2,0.06426268,covariate,150.91371154785156
t2m_max_lag4,0.060664214,covariate,130.33428955078125
cos_q,0.06051972,seasonal,528.6270751953125
t2m_lag2,0.060210362,covariate,145.49765014648438
rainfall_lag0,0.050746698,covariate,135.09999084472656
t2m_max_lag0,0.0499205,covariate,130.43313598632812
t2m_min_lag2,0.047089227,covariate,170.37510681152344
t2m_lag4,0.03333067,covariate,126.39260864257812
rainfall_lag1,0.028188268,covariate,108.11450958251953
rainfall_lag4,0.028105685,covariate,135.0132293701172
rainfall_lag2,0.026980145,covariate,152.2216033935547
y_lag8__miss,0.02214212,autoregressive,130.90533447265625
y_lag2__miss,0.017935302,autoregressive,148.4441375732422
y_lag3__miss,0.01338576,autoregressive,104.14727020263672
y_roll4_std__miss,0.0072521237,autoregressive,294.5458984375
rainfall_lag1__miss,0.0062725944,covariate,240.57968139648438
y_lag6__miss,0.0057925866,autoregressive,115.68717193603516
y_lag4__miss,0.0055442294,autoregressive,114.96873474121094
t2m_lag1__miss,0.0031288618,covariate,405.9712829589844
rainfall_lag4__miss,0.0013239051,covariate,66.24323272705078
rainfall_lag2__miss,0.001032795,covariate,95.46717834472656
y_trend4__miss,0.00024625886,autoregressive,124.00505065917969
t2m_lag2__miss,2.9623212e-05,covariate,281.65673828125
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
lat__miss,0.0,other,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_lag0__miss,0.0,covariate,0.0
t2m_lag4__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_max_lag1__miss,0.0,covariate,0.0
t2m_max_lag2__miss,0.0,covariate,0.0
t2m_max_lag4__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
t2m_min_lag1__miss,0.0,covariate,0.0
t2m_min_lag2__miss,0.0,covariate,0.0
t2m_min_lag4__miss,0.0,covariate,0.0
